序号,地址1,地址2,室,厅,面积,朝向,装修,楼层,年份,楼种,价格
1,欣梅苑,宣桥,1,1,54.59,南,精装,3,2007,板楼,133
2,象屿上海年华,莘闵别墅,2,2,82.34,南北,精装,4,2016,板楼,308
3,同润菲诗艾伦,泗泾,3,1,88.65,南,精装,5,2010,板楼,315
4,阳城贵都,阳城,2,2,96.94,南,简装,6,2010,板楼,710
5,桃浦六村绿春苑,桃浦,2,1,57.05,南北,简装,5,1994,板楼,196
6,贝尚湾(公寓),九亭,2,2,98.86,南北,精装,8,2009,板楼,540
7,丰庄二村,丰庄,2,1,71.64,南,简装,5,1997,板楼,295
8,新梅公寓二期,古美,2,2,91.42,南北,精装,6,2001,板楼,476
9,碧林湾(公寓),七宝,2,2,112.79,南,精装,4,2006,板楼,759
10,奥林匹克花园,九亭,2,2,77.58,南,精装,2,2002,板楼,355
11,金杨新村十街坊,金杨,2,2,72.84,南,简装,3,1996,板楼,390
12,云阳花苑,新华路,2,2,81.8,东南,简装,8,1997,塔楼,570
13,延吉四村,黄兴公园,2,1,49.94,南,精装,5,1985,板楼,318
14,金坤花园,金汇,1,1,42.32,北,精装,3,2002,板楼,187.5
15,金沁苑,航头,2,1,78.03,南,精装,4,2013,板楼,255
16,惠康苑,惠南,2,1,78.64,南,毛坯,4,2014,板楼,193
17,巴林小区,曲阳,2,1,51.63,南,简装,5,1988,板楼,360
18,绿园一村,北新泾,2,2,79.04,南,简装,5,1997,板楼,390
19,瑞和锦庭-西区,华新,2,1,77.18,西南,精装,14,2013,板楼,271
20,学林苑,上大,3,2,109.78,南,毛坯,5,2004,板楼,517
21,江杨家园,江湾镇,2,1,76.01,南北,简装,7,2007,板楼,433
22,古北菊翔苑(菊联路232弄),顾村,2,2,74.13,南北,精装,6,2008,板楼,332
23,古城公寓,古北,2,2,101.9,南,精装,3,1989,板楼,660
24,景江苑B区,浦江,2,2,104.04,南,精装,2,2004,板楼,400
25,荷风翠庭,泥城镇,1,1,49.99,南北,毛坯,3,2009,板楼,123
26,景江苑B区,浦江,2,2,99.51,南北,精装,2,2004,板楼,382
27,李园二村,嘉定老城,2,1,57.33,南,精装,3,1987,板楼,164
28,保利西子湾,松江大学城,2,2,90.14,南,精装,4,2009,板楼,385
29,白兰园,武宁,1,1,46.79,北,简装,4,1994,板楼,239
30,金榜新苑,颛桥,3,2,124.16,南北,精装,2,2006,板楼,460
31,永德小区,吴泾,2,1,48.3,南,简装,2,1982,板楼,190
32,乐业五村,月浦,2,1,56.83,南北,精装,5,1996,板楼,178
33,花木苑,花木,2,2,76.26,南,精装,5,2000,板楼,640
34,奥林匹克花园,九亭,2,2,89.6,南北,精装,2,2002,板楼,375
35,万佳苑,黄兴公园,2,1,85.34,南,简装,3,1998,板楼,548
36,安阁苑,周浦,2,1,71.97,南北,精装,5,2006,板楼,254
37,罗阳七村(华宝小区),梅陇,3,1,75.3,南,简装,3,1994,板楼,385
38,丰庄十四街坊,丰庄,2,1,64.87,南北,简装,2,1996,板楼,305
39,金地褐石苑,泗泾,3,2,93,南,精装,4,2016,板楼,420
40,乐山八九村,徐家汇,2,1,52.3,南,精装,2,1991,板楼,518
41,七宝老街,七宝,1,1,42.48,南,精装,3,1994,板楼,370
42,同汇苑,徐家汇,2,2,108.86,南北,精装,14,2000,板楼,1095
43,乾溪二村,大场镇,2,1,72.3,南,精装,5,1997,板楼,285
44,薇馨家园,春申,2,1,78.82,南,简装,5,1994,板楼,306
45,百龙小区,植物园,2,1,85.36,南,精装,12,1995,塔楼,585
46,济阳二村,世博,1,1,43.99,南,精装,5,1989,板楼,238
47,虹梅南路96弄,华东理工,2,1,69.64,南,精装,5,1994,板楼,340
48,新凯二期,泗泾,2,1,81.36,南,精装,4,2009,板楼,290
49,西凌新邨,蓬莱公园,2,2,84,东西,精装,16,1995,塔楼,620
50,罗山三村,金杨,2,1,64.58,南,简装,2,1997,板楼,374
51,锦绣满堂花园,杨东,3,2,123.24,南,精装,12,2006,板楼,1120
52,馨佳园(菊泉街1346弄),顾村,2,1,76.76,南,精装,6,2011,板楼,286
53,露香园,豫园,5,2,283,南,精装,12,2014,板楼,4100
54,鹏海小区,北蔡,2,1,61.03,南,精装,5,1997,板楼,318
55,新凯二期,泗泾,2,2,77.77,南,毛坯,7,2009,板楼,260
56,知雅汇(公寓),九亭,2,2,90.34,南,精装,5,2004,板楼,355
57,商业一村,鲁迅公园,1,1,25.31,西北,简装,3,1967,板楼,140
58,中远两湾城,中远两湾城,2,2,107.26,西南,简装,8,2006,板楼,760
59,中兴财富国际公寓,不夜城,2,1,75.44,南,精装,8,2005,塔楼,630
60,上海阳城,梅陇,1,1,49.6,南,简装,3,2003,板楼,468
61,莘松三村,莘庄,1,1,39.48,南,简装,2,1986,板楼,390
62,新凯二期,泗泾,2,2,77.77,南,精装,4,2009,板楼,259
63,奥林匹克花园,九亭,2,2,90.59,南,精装,10,2008,板楼,379
64,莘城苑,莘庄,2,2,81.62,南,简装,5,1997,板楼,288
65,新德佳苑,川沙,1,1,51.97,南,简装,5,2008,板楼,228
66,武康路280弄(公房),衡山路,1,1,35.27,南,精装,5,1981,板楼,380
67,遵义小区,中山公园,1,1,32.35,南,精装,2,1989,板楼,205
68,同润菲诗艾伦,泗泾,3,2,88.54,南,精装,4,2014,板楼,320
69,新南家园,西渡,2,2,96.3,南,精装,2,2010,板楼,254
70,漕溪一村,万体馆,1,1,41.5,南,精装,3,1981,板楼,360
